Unnamed: 0,MeridianLink Consumer - Consumer Module Tier 12 (up to 249 apps),MeridianLink Consumer - Consumer Module Tier 11 (250-499 apps),MeridianLink Consumer - Consumer Module Tier 10 (500-999 apps),MeridianLink Consumer - Consumer Module Tier 09 (1000-1999 apps),MeridianLink Consumer - Consumer Module Tier 08 (2000-3999 apps),MeridianLink Consumer - Consumer Module Tier 07 (4000-7999 apps),MeridianLink Consumer - Consumer Module Tier 06 (8000-9999 apps),"MeridianLink Consumer - Consumer Module Tier 05 (10,000-14,999 apps)","MeridianLink Consumer - Consumer Module Tier 04 (15,000-19,999 apps)","MeridianLink Consumer - Consumer Module Tier 03 (20,000-24,999 apps)","MeridianLink Consumer - Consumer Module Tier 02 (25,000-29,999 apps)","MeridianLink Consumer - Consumer Module Tier 01 (30,000+ apps)",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,MeridianLink Collect Tier 4 (<$500M AUM) Level 3  (<$1M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 4 (<$500M AUM) Level 2  (>=$1M & <$2M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 4 (<$500M AUM) Level 1  (>=$2M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 3  (<$2M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 2  (>=$2M & <$3M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 3 (>=$500M & <$1B AUM) Level 1  (>=$3M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 3  (<$3M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 2  (>=$3M & <$4M in 60+ Consumer Delinquencies) Billed Monthly,MeridianLink Collect Tier 2 (>=$1B & <$10B AUM) Level 1  (>=$4M in 60+ Consumer Delinquencies) Billed Annually,MeridianLink Collect Tier 1 (>=$10B AUM) Billed Monthly,,,,,,,,,,MeridianLink Consumer - Home Equity Module Tier 2 (500-999 apps),17000,,15.15,,,,,,,,,,,,
MeridianLink Collect - Monthly Billing Volume Plan,Tier 4 (Level 3),Tier 4 (Level 2),Tier 4 (Level 1),Tier 3 (Level 3),Tier 3 (Level 2),Tier 3 (Level 1),Tier 2 (Level 3),Tier 2 (Level 2),Tier 2 (Level 1),Tier 1,,,,,,,,,,MeridianLink Consumer - Home Equity Module Tier 3 (250-499 apps),17000,,20.05,,,,,,,,,,,,
Collect Setup Fee,6750,11250,16750,16750,24000,31250,31250,34500,42500,58500,,,,,,,,,,MeridianLink Consumer - Home Equity Module Tier 4 (up to 249 apps),17000,,25.1,,,,,,,,,,,,
Collect Annual Fee,16704,22260,37848,37848,50088,62328,62328,68688,79500,100704,,,,,,,,,,MeridianLink Consumer - Indirect Lending Module Tier 10 (500-999 apps),12250,,5.8,,,,,,,,,,,,
Deliquency Amounts,<$1M​,<$2M & >=$1M​,>=$2M​,<$2M​,<$3M & >=$2M​,>=$3M​,<$3M​,<$4M & >=$3M​,>=$4M​,,,,,,,,,,,MeridianLink Consumer - Indirect Lending Module Tier 11 (250-499 apps),12250,,6.6,,,,,,,,,,,,
,MeridianLink Insight for Collect Tier 4 (<$500M AUM) Level 3  (<$1M in 60+ Consumer Delinquencies),MeridianLink Insight for Collect Tier 4 (<$500M AUM) Level 2  (>=$1M & <$2M in 60+ Consumer Delinquencies),MeridianLink Insight for Collect Tier 4 (<$500M AUM) Level 1  (>=$2M in 60+ Consumer Delinquencies),MeridianLink Insight for Collect Tier 3 (>=$500M & <$1B AUM) Level 3  (<$2M in 60+ Consumer Delinquencies,MeridianLink Insight for Collect Tier 3 (>=$500M & <$1B AUM) Level 2  (>=$2M & <$3M in 60+ Consumer Delinquencies),MeridianLink Insight for Collect Tier 3 (>=$500M & <$1B AUM) Level 1  (>=$3M in 60+ Consumer Delinquencies),MeridianLink Insight for Collect Tier 2 (>=$1B & <$10B AUM) Level 3  (<$3M in 60+ Consumer Delinquencies),MeridianLink Insight for Collect Tier 2 (>=$1B & <$10B AUM) Level 2  (>=$3M & <$4M in 60+ Consumer Delinquencies),MeridianLink Insight for Collect Tier 2 (>=$1B & <$10B AUM) Level 1  (>=$4M in 60+ Consumer Delinquencies),MeridianLink Insight for Collect Tier 1 (>=$10B AUM,,,,,,,,,,MeridianLink Consumer - Indirect Lending Module Tier 12 (up to 249 apps),12250,,8.2,,,,,,,,,,,,
MeridianLink Insight for Collect ,Tier 4 (Level 3),Tier 4 (Level 2),Tier 4 (Level 1),Tier 3 (Level 3),Tier 3 (Level 2),Tier 3 (Level 1),Tier 2 (Level 3),Tier 2 (Level 2),Tier 2 (Level 1),Tier 1,,,,,,,,,,MeridianLink Opening Module Tier 10 (500-999 apps),28000,,10.8,,,,,,,,,,,,
MeridianLink Insight for Collect Setup Fee,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,MeridianLink Opening Module Tier 11 (250-499 apps),23250,,12.5,,,,,,,,,,,,
MeridianLink Insight for Collect Annual Fee,5000,5000,5000,5000,5000,5880,5880,6480,7500,9500,,,,,,,,,,MeridianLink Opening Module Tier 12 (up to 249 apps),18750,,14.2,,,,,,,,,,,,
Deliquency Amounts,<$1M​,<$2M & >=$1M​,>=$2M​,<$2M​,<$3M & >=$2M​,>=$3M​,<$3M​,<$4M & >=$3M​,>=$4M​,,,,,,,,,,,Standalone MeridianLink Consumer - Indirect Lending Module Tier 10 (500-999 apps),45500,,5.8,,,,,,,,,,,,
,Meridianlink Mortgage Platform Fee,,,,,,,,,,,,,,,,,,,Standalone MeridianLink Consumer - Indirect Lending Module Tier 11 (250-499 apps),35500,,6.6,,,,,,,,,,,,
Platform Fee for All Meridianlink Mortgage Customers,,,,,,,,,,,,,,,,,,,,Standalone MeridianLink Consumer - Indirect Lending Module Tier 12 (up to 249 apps),28750,,8.2,,,,,,,,,,,,
Meridianlink Mortgage Platform Fee (Billed Monthly),425,,,,,,,,,,,,,,,,,,,"MeridianLink Consumer - Consumer Module Tier 01 (30,000+ apps)",-1234,,1.85,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MeridianLink Consumer - Consumer Module Tier 02 (25,000-29,999 apps)",-1234,,2.2,,,,,,,,,,,,
Setup Fees for Combined ML Mortgage First and Subordinate Lien Loans (with and without DocMagic),,,,,,,,,,,,,,,,,,,,"MeridianLink Consumer - Consumer Module Tier 03 (20,000-24,999 apps)",-1234,,2.5,,,,,,,,,,,,
0 Implementations Volume Plan,0,,,,,,,,,,,,,,,,,,,"MeridianLink Consumer - Consumer Module Tier 04 (15,000-19,999 apps)",-1234,,2.9,,,,,,,,,,,,
1 Implementation Volume Plan,7950,,,,,,,,,,,,,,,,,,,"MeridianLink Consumer - Consumer Module Tier 05 (10,000-14,999 apps)",-1234,,3.35,,,,,,,,,,,,
2 Implementation Volume Plan,13200,,,,,,,,,,,,,,,,,,,MeridianLink Consumer - Consumer Module Tier 06 (8000-9999 apps),85750,,3.95,,,,,,,,,,,,
3 Implementation Volume Plan,18425,,,,,,,,,,,,,,,,,,,MeridianLink Consumer - Consumer Module Tier 07 (4000-7999 apps),75750,,4.8,,,,,,,,,,,,
,MeridianLink Mortgage LOS Tier 17 (10-14 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 16 (15-29 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 15 (30-44 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 14 (45-59 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 13 (60-74 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 12 (75-89 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 11 (90-109 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 10 (110-134 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 09 (135-169 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 08 (170-224 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 07 (225-299 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 06 (300-399 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 05 (400-524 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 04 (525-674 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 03 (675-899 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 02 (900-1199 Closed Loans/Mon) no implementation,MeridianLink Mortgage LOS Tier 01 (1200+ Closed Loans/Mon) no implementation,,,MeridianLink Consumer - Consumer Module Tier 08 (2000-3999 apps),65750,,6.75,,,,,,,,,,,,
MeridianLink Mortgage - No Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Consumer - Consumer Module Tier 09 (1000-1999 apps),54000,,8.8,,,,,,,,,,,,
Mortgage Loans Setup Fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"MeridianLink Consumer - Indirect Lending Module Tier 01 (30,000+ apps)",-1234,,1.75,,,,,,,,,,,,
Monthly Minimum Commitment,1204,1728,3210,4599,5952,7260,8532,10208,12258,15061.999999999998,19350,24960,32239.999999999996,41160,51435,66420,85920,,,"MeridianLink Consumer - Indirect Lending Module Tier 02 (25,000-29,999  apps)",-1234,,2.05,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,"MeridianLink Consumer - Indirect Lending Module Tier 03 (20,000-24,999  apps)",-1234,,2.35,,,,,,,,,,,,
Per Application Fee,120.4,115.2,107,102.2,99.2,96.8,94.8,92.8,90.8,88.6,86,83.2,80.6,78.4,76.2,73.8,71.6,,,"MeridianLink Consumer - Indirect Lending Module Tier 04 (15,000-19,999 apps)",-1234,,2.6,,,,,,,,,,,,
,MeridianLink Mortgage LOS Tier 17 (10-14 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 16 (15-29 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 15 (30-44 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 14 (45-59 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 13 (60-74 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 12 (75-89 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 11 (90-109 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 10 (110-134 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 09 (135-169 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 08 (170-224 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 07 (225-299 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 06 (300-399 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 05 (400-524 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 04 (525-674 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 03 (675-899 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 02 (900-1199 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS Tier 01 (1200+ Closed Loans/Mon) with 1 implementation,,,"MeridianLink Consumer - Indirect Lending Module Tier 05 (10,000-14,999 apps)",-1234,,3,,,,,,,,,,,,
MeridianLink Mortgage - 1 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Consumer - Indirect Lending Module Tier 06 (8000-9999 apps),12250,,3.3,,,,,,,,,,,,
Mortgage Loans Setup Fee,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,,,MeridianLink Consumer - Indirect Lending Module Tier 07 (4000-7999 apps),12250,,3.7,,,,,,,,,,,,
Monthly Minimum Commitment,1204,1728,3210,4599,5952,7260,8532,10208,12258,15061.999999999998,19350,24960,32239.999999999996,41160,51435,66420,85920,,,MeridianLink Consumer - Indirect Lending Module Tier 08 (2000-3999 apps),12250,,4.1,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Consumer - Indirect Lending Module Tier 09 (1000-1999 apps),12250,,5,,,,,,,,,,,,
Per Application Fee,120.4,115.2,107,102.2,99.2,96.8,94.8,92.8,90.8,88.6,86,83.2,80.6,78.4,76.2,73.8,71.6,,,"Standalone MeridianLink Consumer - Indirect Lending Module Tier 01 (30,000+ apps) ",-1234,,1.75,,,,,,,,,,,,
,MeridianLink Mortgage LOS Tier 17 (10-14 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 16 (15-29 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 15 (30-44 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 14 (45-59 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 13 (60-74 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 12 (75-89 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 11 (90-109 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 10 (110-134 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 09 (135-169 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 08 (170-224 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 07 (225-299 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 06 (300-399 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 05 (400-524 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 04 (525-674 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 03 (675-899 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 02 (900-1199 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS Tier 01 (1200+ Closed Loans/Mon) with 2 implementations,,,"Standalone MeridianLink Consumer - Indirect Lending Module Tier 02 (25,000-29,999  apps)",-1234,,2.05,,,,,,,,,,,,
MeridianLink Mortgage - 2 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,"Standalone MeridianLink Consumer - Indirect Lending Module Tier 03 (20,000-24,999  apps)",-1234,,2.35,,,,,,,,,,,,
Mortgage Loans Setup Fee,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,,,"Standalone MeridianLink Consumer - Indirect Lending Module Tier 04 (15,000-19,999 apps)",-1234,,2.6,,,,,,,,,,,,
Monthly Minimum Commitment,1204,1728,3210,4599,5952,7260,8532,10208,12258,15061.999999999998,19350,24960,32239.999999999996,41160,51435,66420,85920,,,"Standalone MeridianLink Consumer - Indirect Lending Module Tier 05 (10,000-14,999 apps)",-1234,,3,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,Standalone MeridianLink Consumer - Indirect Lending Module Tier 06 (8000-9999 apps),85750,,3.3,,,,,,,,,,,,
Per Application Fee,120.4,115.2,107,102.2,99.2,96.8,94.8,92.8,90.8,88.6,86,83.2,80.6,78.4,76.2,73.8,71.6,,,Standalone MeridianLink Consumer - Indirect Lending Module Tier 07 (4000-7999 apps),75750,,3.7,,,,,,,,,,,,
,MeridianLink Mortgage LOS Tier 17 (10-14 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 16 (15-29 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 15 (30-44 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 14 (45-59 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 13 (60-74 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 12 (75-89 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 11 (90-109 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 10 (110-134 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 09 (135-169 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 08 (170-224 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 07 (225-299 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 06 (300-399 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 05 (400-524 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 04 (525-674 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 03 (675-899 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 02 (900-1199 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS Tier 01 (1200+ Closed Loans/Mon) with 3 implementations,,,Standalone MeridianLink Consumer - Indirect Lending Module Tier 08 (2000-3999 apps),65750,,4.1,,,,,,,,,,,,
MeridianLink Mortgage - 3 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,Standalone MeridianLink Consumer - Indirect Lending Module Tier 09 (1000-1999 apps),54000,,5,,,,,,,,,,,,
Mortgage Loans Setup Fee,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,,,"MeridianLink Opening Module Tier 01 (30,000+ apps)",-1234,,1.85,,,,,,,,,,,,
Monthly Minimum Commitment,1204,1728,3210,4599,5952,7260,8532,10208,12258,15061.999999999998,19350,24960,32239.999999999996,41160,51435,66420,85920,,,"MeridianLink Opening Module Tier 02 (25,000-29,999 apps)",-1234,,2.2,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,"MeridianLink Opening Module Tier 03 (20,000-24,999 apps)",-1234,,2.5,,,,,,,,,,,,
Per Application Fee,120.4,115.2,107,102.2,99.2,96.8,94.8,92.8,90.8,88.6,86,83.2,80.6,78.4,76.2,73.8,71.6,,,"MeridianLink Opening Module Tier 04 (15,000-19,999 apps)",-1234,,2.9,,,,,,,,,,,,
,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 17 (10-14 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 16 (15-29 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 15 (30 - 44 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 14 (45 - 59 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 13 (60 - 74 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 12 (75 - 89 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 11 (90 - 109 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 10 (110 - 134 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 09 (135 - 169 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 08 (170 - 224 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 07 (225 - 299 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 06 (300 - 399 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 05 (400 - 524 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 04 (525 - 674 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 03 (675 - 899 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 02 (900 - 1199 Closed Loans/Month),MeridianLink Mortgage LOS Subordinate Lien Loans Tier 01 (1200+ Closed Loans/Month),,,"MeridianLink Opening Module Tier 05 (10,000-14,999 apps)",-1234,,3.35,,,,,,,,,,,,
MeridianLink Mortgage LOS Subordinate Lien Loans,10-14,0-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Opening Module Tier 06 (8000-9999 apps),60250,,3.95,,,,,,,,,,,,
Mortgage Loans Setup Fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MeridianLink Opening Module Tier 07 (4000-7999 apps),49500,,4.8,,,,,,,,,,,,
Monthly Minimum Commitment,784,1125,2088,2996.9999999999995,3875.9999999999995,4725,5562,6666,7992,9826,12600,16260,20960,26775,33513.75,43335,55980,,,MeridianLink Opening Module Tier 08 (2000-3999 apps),41750,,6.75,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Opening Module Tier 09 (1000-1999 apps),34000,,8.8,,,,,,,,,,,,
Per Application Fee,78.4,75,69.6,66.6,64.6,63,61.8,60.6,59.2,57.8,56,54.2,52.4,51,49.65,48.15,46.65,,MeridianLink CreditAPI,MeridianLink CreditAPI,2600,,,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 17 (10-14 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 16 (15-29 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 15 (30 - 44 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 14 (45 - 59 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 13 (60 - 74 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 12 (75 - 89 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 11 (90 - 109 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 10 (110 - 134 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 09 (135 - 169 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 08 (170 - 224 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 07 (225 - 299 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 06 (300 - 399 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 05 (400 - 524 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 04 (525 - 674 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 03 (675 - 899 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 02 (900 - 1199 Closed Loans/Month),MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 01 (1200+ Closed Loans/Month),,MeridianLink Mortgage,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 10 (110 - 134 Closed Loans/Month),0,,60.6,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic Subordinate Lien Loans,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 11 (90 - 109 Closed Loans/Month),0,,61.8,,,,,,,,,,,,
Mortgage Loans Setup Fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 12 (75 - 89 Closed Loans/Month),0,,63,,,,,,,,,,,,
Monthly Minimum Commitment,1050,1524,2886,4194,5472,6720,7956.000000000001,9592,11583,14348.000000000002,18585,24240,31600,40740,51468.75,67275,87900,,,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 13 (60 - 74 Closed Loans/Month),0,,64.6,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 14 (45 - 59 Closed Loans/Month),0,,66.6,,,,,,,,,,,,
Per Application Fee,105,101.6,96.2,93.2,91.2,89.6,88.4,87.2,85.8,84.4,82.6,80.8,79,77.6,76.25,74.75,73.25,,,MeridianLink Mortgage LOS Subordinate Lien Loans Tier 15 (30 - 44 Closed Loans/Month),0,,69.6,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic Tier 17 (10-14 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 16 (15-29 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 15 (30-44 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 14 (45-59 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 13 (60-74 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 12 (75-89 Closed Loans/Mon) with  no implementation,MeridianLink Mortgage LOS with DocMagic Tier 11 (90-109 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 10 (110-134 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 09 (135-169 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 08 (170-224 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 07 (225-299 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 06 (300-399 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 05 (400-524 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 04 (525-674 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 03 (675-899 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 02 (900-1199 Closed Loans/Mon) with no implementation,MeridianLink Mortgage LOS with DocMagic Tier 01 (1200+ Closed Loans/Mon) with no implementation,,,MeridianLink Mortgage LOS Tier 10 (110-134 Closed Loans/Mon) no implementation,0,,92.8,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic - No Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS Tier 10 (110-134 Closed Loans/Mon) with 1 implementation,7950,,92.8,,,,,,,,,,,,
Mortgage Loans Setup Fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MeridianLink Mortgage LOS Tier 10 (110-134 Closed Loans/Mon) with 2 implementations,13200,,92.8,,,,,,,,,,,,
